Tour Title,Tour URL,Opinion Count,Image Count,Rating,Excelente,Muy bueno,Promedio,Mala,Horrible
Excursión de día completo a la montaña arcoíris de Palccoyo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d28141954-Palccoyo_Rainbow_Mountain_Full_Day_Tour-Cusco_Cusco_Region.html,No disponible,3,No disponible,0,0,0,0,0
Excursión a la Laguna Humantay Full Day desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17476015-Excursion_to_Humantay_Lake_Full_Day_from_Cusco-Cusco_Cusco_Region.html,1093,"1,189",5.0,"1,028",50,8,3,4
Excursión de 2 días: Valle sagrado y Machu Picchu en tren,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12468336-2_Day_Tour_Sacred_Valley_and_Machu_Picchu_by_Train-Cusco_Cusco_Region.html,701,"1,074",5.0,670,19,8,2,2
Montaña Arcoíris en un día desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12317796-Rainbow_Mountain_in_One_Day_from_Cusco-Cusco_Cusco_Region.html,429,646,4.5,353,49,12,6,9
Machu Picchu full day Tour,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17686696-Machu_Picchu_full_day_Tour-Cusco_Cusco_Region.html,159,292,5.0,147,10,1,0,1
"Clases de cocina peruana, cócteles y mercado en Cusco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d25466627-Peruvian_Cooking_Class_Cocktails_and_Market_in_Cusco-Cusco_Cusco_Region.html,665,"1,255",5.0,654,10,1,0,0
Valle Sagrado de los Inkas 7 lugares Tour Full Day,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19907769-Sacred_valley_of_the_Inkas_7_places_Full_Day_Tour-Cusco_Cusco_Region.html,140,318,5.0,121,12,2,2,3
Excursión de un día a Machu Picchu desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17775138-Day_Trip_Tour_to_Machu_Picchu_from_Cusco-Cusco_Cusco_Region.html,404,412,5.0,364,17,6,3,14
Cusco City Tour Cuatro Ruinas Tour de medio día,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17813636-Cusco_City_Tour_Four_Ruins_Half_Day_Tour-Cusco_Cusco_Region.html,232,320,5.0,221,6,3,1,1
Excursion de un dia a Machu Picchu desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19768959-Full_Day_Tour_to_Machu_Picchu_from_Cusco-Cusco_Cusco_Region.html,384,573,5.0,373,6,2,3,0
Clase de cocina peruana y mercado local en Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11471137-Peruvian_Cooking_Class_and_Local_Market_in_Cusco-Cusco_Cusco_Region.html,126,197,5.0,120,6,0,0,0
Excursión de día completo a la montaña Arcoíris (excursión en grupo),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15040510-Excursion_to_Rainbow_Mountain_Full_Day-Cusco_Cusco_Region.html,1435,"1,463",5.0,"1,349",68,11,4,3
Combo de rafting y canopy en el río Cusco Aventura en Urubamba,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27713785-Cusco_River_Rafting_and_Canopy_Combo_Urubamba_Adventure-Cusco_Cusco_Region.html,No disponible,6,No disponible,0,0,0,0,0
Excursión a Machu Picchu de Un Día desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11451089-Machu_Picchu_Day_Trip_from_Cusco-Cusco_Cusco_Region.html,395,439,4.5,294,51,24,11,15
Tour de 4 Días al Parque Nacional del Manu,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26336893-4_Day_Tour_to_the_Manu_National_Park-Cusco_Cusco_Region.html,64,185,5.0,57,6,0,0,1
"El mejor tour al Valle Sagrado: 1 día de historia, estilo de vida y paisajes incas",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15304640-The_Ultimate_Sacred_Valley_tour_1_day_of_Inca_history_lifestyle_landscapes-Cusco_C.html,439,696,5.0,421,14,0,0,4
Tour a Machupicchu 2 días en minivan,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19914701-Tour_to_Machupicchu_2_Days_by_Minivan-Cusco_Cusco_Region.html,94,198,5.0,88,2,1,2,1
EXCURSIÓN A CABALLO MÍSTICA (Templo de la Luna y montaña de Chacán),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15102302-HORSEBACK_RIDING_MYSTIC_TOUR_Temple_of_the_Moon_and_Chacan_Mountain-Cusco_Cusco_Re.html,78,147,5.0,78,0,0,0,0
Clase completamente práctica de cocina peruana de alto nivel y visita guiada al mercado de San Pedro,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d13906692-Fully_hands_on_High_End_Peruvian_Cooking_Class_San_Pedro_Market_Guided_Visit-Cusco.html,323,577,5.0,318,3,1,0,1
Camino Inca 4 días a Machu Picchu con Tren Panorámico,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d13540108-Inca_Trail_4_days_to_Machu_Picchu_with_Panoramic_Train-Cusco_Cusco_Region.html,3899,"5,469",5.0,"3,863",24,4,2,6
Tour de mercado y clase de cocina tradicional peruana en Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17846503-Market_Tour_Traditional_Peruvian_Cooking_Class_in_Cusco-Cusco_Cusco_Region.html,221,417,5.0,212,1,6,2,0
Camino Inca Corto a Machu Picchu 2D / 1N,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23813988-Short_Inca_Trail_to_Machu_Picchu_2D_1N-Cusco_Cusco_Region.html,1981,"2,996",5.0,"1,964",15,2,0,0
City Tour Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15778409-City_Tour_Cusco-Cusco_Cusco_Region.html,84,160,5.0,80,4,0,0,0
Montaña Arcoíris Revelada: Salida Exclusiva 08:00 am,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17335311-Rainbow_Mountain_Revealed_Exclusive_08_00_am_Departure-Cusco_Cusco_Region.html,248,351,5.0,240,6,1,1,0
"Excursión en vehículo todoterreno a Moray, Maras y Salar en el Valle Sagrado desde Cuzco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11477506-ATV_Tour_to_Moray_Maras_Salt_Mines_the_Sacred_Valley_from_Cusco-Cusco_Cusco_Region.html,264,338,4.5,189,52,12,7,4
Tour Machu Picchu Por Tren (2 Días),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d18476644-Machu_Picchu_Tour_By_Train_2_Days-Cusco_Cusco_Region.html,41,46,4.5,36,2,0,0,3
Tour de 2 días desde Cusco: Valle Sagrado y Machu Picchu en tren,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23839028-2_Day_Tour_from_Cusco_Sacred_Valley_and_Machu_Picchu_by_Train-Cusco_Cusco_Region.html,57,154,5.0,55,2,0,0,0
"Tour a pie privado por Cuzco: Museo Inca, Qorikancha y Mercado de San Pedro",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11456148-Private_Cusco_Walking_Tour_Inca_Museum_Qorikancha_and_San_Pedro_Market-Cusco_Cusco.html,6,13,5.0,6,0,0,0,0
Tour de un día a Machu Picchu en Tren,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27926125-Machu_Picchu_Day_Trip_from_Cuzco-Cusco_Cusco_Region.html,15,44,5.0,15,0,0,0,0
City Tour en la ciudad del Cusco 1/2 Dia,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19604547-City_Tour_in_the_city_of_Cusco_1_2_Day-Cusco_Cusco_Region.html,99,140,4.5,79,15,4,1,0
Clases de cocina en Cuzco y recorrido por el mercado de San Pedro,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d14942900-Cusco_Cooking_Classes_and_San_Pedro_Market_Tour-Cusco_Cusco_Region.html,556,959,5.0,544,11,1,0,0
"Valle Sagrado de los Incas en Privado: Pisaq,Ollantaytambo,Chinchero,Awanacancha",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17718705-Sacred_Valley_of_the_Incas_in_Private_Pisaq_Ollantaytambo_Chinchero_Awanacancha-Cu.html,55,94,5.0,55,0,0,0,0
2 días: Machu Picchu en tren desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19403072-2_Day_Machu_Picchu_By_Train_from_Cusco-Cusco_Cusco_Region.html,19,21,5.0,18,0,1,0,0
Caminata de 2 días por el lago Humantay y el paso Salkantay,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24897309-2_Day_Humantay_Lake_Salkantay_Pass_Trek-Cusco_Cusco_Region.html,337,722,5.0,330,7,0,0,0
