Tour Title;Tour URL;Opinion Count;Total Opinions;Rating;5_estrellas;4_estrellas;3_estrellas;2_estrellas;1_estrella
Sam Travel Peru;https://es.trustpilot.com/review/samtravelperu.com;79;79;4.9;79;0;0;0;0
Paprika Tours;https://es.trustpilot.com/review/paprikatours.com;633;633;4.9;589;38;6;0;6
The Luxury Peru Travel Company;https://es.trustpilot.com/review/luxuryperu.travel;58;58;4.6;51;5;1;0;1
Peru Summit Adventures;https://es.trustpilot.com/review/perusummit.com;29;29;4.7;29;0;0;0;0
Inca Soul - Peru Tour Experiences;https://es.trustpilot.com/review/incasoulexperiences.com;49;49;4.6;45;0;0;0;4
Peru InsideOut;https://es.trustpilot.com/review/www.peruinsideout.com;74;74;4.9;73;1;0;0;0
Pumadventures;https://es.trustpilot.com/review/pumadventures.com;26;26;4.7;26;0;0;0;0
Pacha Expeditions;https://es.trustpilot.com/review/pachaexpeditions.com;4;4;4.0;4;0;0;0;0
Machu Picchu Peru;https://es.trustpilot.com/review/machupicchuperu.com.br;11;11;3.1;10;0;0;0;1
Cusco Transport and Tours;https://es.trustpilot.com/review/cuscotransport.com;7;7;4.3;7;0;0;0;0
Machu Picchu Peru Tours;https://es.trustpilot.com/review/www.machupicchuperutours.com;17;17;4.6;17;0;0;0;0
Mountain Lodges of Peru;https://es.trustpilot.com/review/mountainlodgesofperu.com;261;261;4.8;240;10;8;3;3
Peru Hop;https://es.trustpilot.com/review/peruhop.com;219;219;4.8;188;26;2;0;2
Impactful Travel;https://es.trustpilot.com/review/impactful.travel;27;27;4.7;27;0;0;0;0
Kamu;https://es.trustpilot.com/review/kamu.uno;20;20;4.6;19;1;0;0;0
Travelbuddiesperu;https://es.trustpilot.com/review/travelbuddiesperu.com;40;40;4.7;39;0;0;0;1
Karikuy Tours;https://es.trustpilot.com/review/karikuy.com;82;82;4.5;56;11;5;1;9
Miski Travels;https://es.trustpilot.com/review/www.miskitravels.com;19;19;4.6;19;0;0;0;0
Salkantay Trekking;https://es.trustpilot.com/review/salkantaytrekking.com;68;68;4.8;65;2;0;0;1
Terres du Pérou;https://es.trustpilot.com/review/terres-du-perou.com;16;16;4.5;16;0;0;0;0
ACTION PERU TREKS;https://es.trustpilot.com/review/actionperutreks.com;25;25;4.7;25;0;0;0;0
Alta Sanctuary;https://es.trustpilot.com/review/altasanctuary.com;16;16;4.5;16;0;0;0;0
Vamos Expeditions;https://es.trustpilot.com/review/www.vamosexpeditions.com;96;96;4.9;95;1;0;0;0
Machu Picchu Inc;https://es.trustpilot.com/review/machupicchu-inc.com;15;15;4.5;15;0;0;0;0
