Tour Title,Tour URL,Opinion Count,Image Count,Rating,Excelente,Muy bueno,Promedio,Mala,Horrible
No disponible,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19768959-Full_Day_Tour_to_Machu_Picchu_from_Cusco-Cusco_Cusco_Region.html,No,No disponible,No,0,0,0,0,0
Excursión a la Laguna Humantay Full Day desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17476015-Excursion_to_Humantay_Lake_Full_Day_from_Cusco-Cusco_Cusco_Region.html,1088,"1,183",5.0,"1,024",49,8,3,4
Cusco City Tour Cuatro Ruinas Tour de medio día,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17813636-Cusco_City_Tour_Four_Ruins_Half_Day_Tour-Cusco_Cusco_Region.html,229,317,5.0,218,6,3,1,1
Excursión a Machu Picchu de Un Día desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11451089-Machu_Picchu_Day_Trip_from_Cusco-Cusco_Cusco_Region.html,392,439,4.5,293,50,23,11,15
Machu Picchu full day Tour,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17686696-Machu_Picchu_full_day_Tour-Cusco_Cusco_Region.html,156,290,5.0,144,10,1,0,1
"Clases de cocina peruana, cócteles y mercado en Cusco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d25466627-Peruvian_Cooking_Class_Cocktails_and_Market_in_Cusco-Cusco_Cusco_Region.html,577,"1,137",5.0,567,9,1,0,0
Excursión de un día a Machu Picchu desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17775138-Day_Trip_Tour_to_Machu_Picchu_from_Cusco-Cusco_Cusco_Region.html,391,402,5.0,352,17,6,3,13
"El mejor tour al Valle Sagrado: 1 día de historia, estilo de vida y paisajes incas",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15304640-The_Ultimate_Sacred_Valley_tour_1_day_of_Inca_history_lifestyle_landscapes-Cusco_C.html,436,694,5.0,418,14,0,0,4
Montaña Arcoíris en un día desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12317796-Rainbow_Mountain_in_One_Day_from_Cusco-Cusco_Cusco_Region.html,426,635,4.5,350,49,12,6,9
Valle Sagrado de los Inkas 7 lugares Tour Full Day,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19907769-Sacred_valley_of_the_Inkas_7_places_Full_Day_Tour-Cusco_Cusco_Region.html,136,309,5.0,118,11,2,2,3
Excursión de día completo a la montaña Arcoíris (excursión en grupo),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15040510-Excursion_to_Rainbow_Mountain_Full_Day-Cusco_Cusco_Region.html,1425,"1,450",5.0,"1,342",66,10,4,3
Machu Picchu by train Full day,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17429429-Machu_Picchu_by_train_Full_day-Cusco_Cusco_Region.html,95,170,5.0,92,2,1,0,0
Camino Inca 4 días a Machu Picchu con Tren Panorámico,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d13540108-Inca_Trail_4_days_to_Machu_Picchu_with_Panoramic_Train-Cusco_Cusco_Region.html,3831,"5,321",5.0,"3,796",23,4,2,6
Excursión de 2 días: Valle sagrado y Machu Picchu en tren,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12468336-2_Day_Tour_Sacred_Valley_and_Machu_Picchu_by_Train-Cusco_Cusco_Region.html,699,"1,069",5.0,668,19,8,2,2
Camino Inca Corto a Machu Picchu 2D / 1N,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23813988-Short_Inca_Trail_to_Machu_Picchu_2D_1N-Cusco_Cusco_Region.html,1866,"2,839",5.0,"1,850",14,2,0,0
Tour a Machupicchu 2 días en minivan,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19914701-Tour_to_Machupicchu_2_Days_by_Minivan-Cusco_Cusco_Region.html,92,196,5.0,86,2,1,2,1
Salkantay Caminata Clásica 5 Días desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24031685-Salkantay_Classic_Trek_5_Days_from_Cusco-Cusco_Cusco_Region.html,3448,"7,103",5.0,"3,416",29,1,2,0
Tour de 4 Días al Parque Nacional del Manu,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26336893-4_Day_Tour_to_the_Manu_National_Park-Cusco_Cusco_Region.html,62,185,5.0,56,6,0,0,0
Tour de 2 días desde Cusco: Valle Sagrado y Machu Picchu en tren,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23839028-2_Day_Tour_from_Cusco_Sacred_Valley_and_Machu_Picchu_by_Train-Cusco_Cusco_Region.html,56,150,5.0,54,2,0,0,0
Excursión de 2 días: Valle Sagrado y Machu Picchu desde Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11763642-2_Days_Tour_Sacred_Valley_and_Machu_Picchu_From_Cusco-Cusco_Cusco_Region.html,162,219,5.0,159,2,1,0,0
Clase completamente práctica de cocina peruana de alto nivel y visita guiada al mercado de San Pedro,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d13906692-Fully_hands_on_High_End_Peruvian_Cooking_Class_San_Pedro_Market_Guided_Visit-Cusco.html,323,577,5.0,318,3,1,0,1
Tour privado guiado a Machu Picchu desde Aguas Calientes,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11483317-Machu_Picchu_Private_Guided_Tour_from_Aguas_Calientes-Cusco_Cusco_Region.html,69,77,4.5,60,2,3,3,1
Cabalgata por cuatro templos escondidos de los incas,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23952462-Horseback_riding_through_four_hidden_temples_of_the_inkas-Cusco_Cusco_Region.html,57,108,5.0,57,0,0,0,0
Tour en Cuatrimotos a Moray y Minas de Sal en el Valle Sagrado,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23939096-Quad_Bike_Tour_To_Moray_and_Salt_Mines_in_Sacred_Valley-Cusco_Cusco_Region.html,107,148,4.5,94,5,4,0,4
EXCURSIÓN A CABALLO MÍSTICA (Templo de la Luna y montaña de Chacán),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15102302-HORSEBACK_RIDING_MYSTIC_TOUR_Temple_of_the_Moon_and_Chacan_Mountain-Cusco_Cusco_Re.html,77,140,5.0,77,0,0,0,0
Tour de mercado y clase de cocina tradicional peruana en Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17846503-Market_Tour_Traditional_Peruvian_Cooking_Class_in_Cusco-Cusco_Cusco_Region.html,216,407,5.0,207,1,6,2,0
Montaña Arcoíris Revelada: Salida Exclusiva 08:00 am,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17335311-Rainbow_Mountain_Revealed_Exclusive_08_00_am_Departure-Cusco_Cusco_Region.html,242,331,5.0,234,6,1,1,0
Caminata Salkantay a Machu Picchu 5 días / 4 noches en glamping,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27735694-Salkantay_Trek_to_Machu_Picchu_5_Days_4_Nights_by_glamping-Cusco_Cusco_Region.html,91,151,5.0,77,12,2,0,0
MachuPicchu FullDay Tour por tren todo Incluido - Guía Privado,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19778262-MachuPicchu_FullDay_All_Inclusive_Train_Tour_Private_Guide-Cusco_Cusco_Region.html,88,147,5.0,88,0,0,0,0
"Excursión en vehículo todoterreno a Moray, Maras y Salar en el Valle Sagrado desde Cuzco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11477506-ATV_Tour_to_Moray_Maras_Salt_Mines_the_Sacred_Valley_from_Cusco-Cusco_Cusco_Region.html,264,338,4.5,189,52,12,7,4
"Taller de chocolate ""del grano a la tableta"" en el ChocoMuseo de Cuzco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11994945-Bean_to_Bar_Chocolate_Workshop_in_ChocoMuseo_Cusco-Cusco_Cusco_Region.html,184,175,5.0,161,11,5,6,1
Tour Selva Amazónica 3 días,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24831911-Amazon_Jungle_Tour_3_days-Cusco_Cusco_Region.html,30,101,4.5,27,0,0,2,1
Guía Profesional Privado en Machupicchu Desde Aguas Calientes.,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d20372629-Private_Professional_Guide_in_Machupicchu_From_Aguas_Calientes-Cusco_Cusco_Region.html,91,168,5.0,90,1,0,0,0
Recorrido por la ciudad de Cuzco (servicio privado),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15040506-City_Tour_in_Cusco_Private_Service-Cusco_Cusco_Region.html,42,20,5.0,39,2,1,0,0
"Excursión de día completo al Valle Sagrado, Pisac y Ollantaytambo desde Cusco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17474562-Full_Day_Excursion_to_Sacred_Valley_Pisac_and_Ollantaytambo_from_Cusco-Cusco_Cusco.html,33,99,5.0,29,2,1,0,1
Camino Inca Clásico Trek 4D/3N a Machu Picchu (Servicio Grupal),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23808248-Classic_Inca_Trail_Trek_4D_3N_to_Machu_Picchu_Group_Service-Cusco_Cusco_Region.html,6486,"10,734",5.0,"6,446",31,3,1,5
Rainbow Mountain En Cuatrimoto,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19773220-Rainbow_Mountain_In_Quad_Bike-Cusco_Cusco_Region.html,81,183,4.5,67,1,2,3,8
Recorrido gastronómico a pie Cómete las calles de Curious Monkey en Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15139231-Curious_Monkey_Cusco_Eat_the_Streets_Walking_Food_Tour-Cusco_Cusco_Region.html,94,110,5.0,91,2,0,0,1
Excursión de un día a la laguna Humantay desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d20064784-Humantay_lake_Day_Trip_from_Cusco-Cusco_Cusco_Region.html,166,184,5.0,160,4,2,0,0
Tour de día completo a Machu Picchu desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d25176654-Full_Day_Tour_to_Machu_Picchu_from_Cusco-Cusco_Cusco_Region.html,17,62,5.0,17,0,0,0,0
Excursión de Día Completo a Machu Picchu en Tren,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26361188-Full_Day_Tour_to_Machu_Picchu_by_Train-Cusco_Cusco_Region.html,30,36,5.0,30,0,0,0,0
Las 10 degustaciones de Cusco con lugareños: tour gastronómico privado,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19496901-The_10_Tastings_of_Cusco_With_Locals_Private_Food_Tour-Cusco_Cusco_Region.html,39,43,5.0,36,0,2,1,0
Excursión de 2 días por el camino inca corto a Machupicchu,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d13571415-Inca_Trail_2_Day_Machu_Picchu_with_Panoramic_Train-Cusco_Cusco_Region.html,1083,"1,398",5.0,"1,067",15,1,0,0
Paseo a caballo al balcón del diablo - Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11457436-Horseback_Riding_Tour_to_the_Devil_s_Balcony_from_Cusco-Cusco_Cusco_Region.html,152,194,5.0,149,2,1,0,0
Tour privado de día completo a la Montaña del Arcoiris,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12990217-Private_Rainbow_Mountain_Full_day_Tour-Cusco_Cusco_Region.html,28,63,5.0,23,4,1,0,0
Recorrido en cuatriciclo de día completo por la Montaña de los Siete Colores,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17745661-Full_Day_Long_Route_ATV_Tour_through_the_Seven_Colors_Mountain-Cusco_Cusco_Region.html,199,426,4.5,170,10,3,6,10
Clase de cocina peruana y mercado local en Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11471137-Peruvian_Cooking_Class_and_Local_Market_in_Cusco-Cusco_Cusco_Region.html,125,197,5.0,119,6,0,0,0
Caminata Salkantay de 4 días con estadía en Sky Camp,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d16861010-4_Day_Salkantay_Trek_with_Sky_Camp_Stay-Cusco_Cusco_Region.html,3079,"3,253",5.0,"3,022",33,14,7,3
City Tour Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15778409-City_Tour_Cusco-Cusco_Cusco_Region.html,81,144,5.0,78,3,0,0,0
Salkantay Trek a Machu Picchu en 4 días,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24129308-Salkantay_Trek_to_Machu_Picchu_in_4_days-Cusco_Cusco_Region.html,32,50,5.0,30,1,0,1,0
Taller de chocolates en Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d25347635-Cusco_Chocolate_Workshop-Cusco_Cusco_Region.html,41,74,5.0,41,0,0,0,0
Valle Sagrado (VIP) - Excursión de día completo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19422743-Sacred_Valley_VIP_Full_Day_Trip-Cusco_Cusco_Region.html,54,120,5.0,47,6,1,0,0
Tour Machu Picchu Día Completo en Tren Vistadome,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27162856-Machu_Picchu_Tour_Full_Day_by_Vistadome_Train-Cusco_Cusco_Region.html,63,119,5.0,63,0,0,0,0
Experiencia Textil y de teñido,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24857969-Textile_and_dyeing_experience-Cusco_Cusco_Region.html,45,150,5.0,45,0,0,0,0
"Caminata de aventura en la selva inca de 4 días|| Opciones de ciclismo de montaña, rafting y tirolesa|",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15884819-4_Day_Inca_Jungle_Adventure_Hike_Mountain_Biking_Rafting_and_Zipline_Options-Cusco.html,52,68,5.0,50,1,0,0,1
Excursión privada de día completo al Valle Sagrado desde Urubamba y Ollantaytambo,https://www.tripadvisor.com.pe/AttractionProductReview-g294321-d25582720-Sacred_Valley_Full_Day_Private_Tour_from_Urubamba_Ollantaytambo-Urubamba_Sacred_Va.html,29,57,5.0,29,0,0,0,0
Tour de día completo a la Montaña Arcoíris y al Valle Rojo desde Cuzco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12944453-Full_Day_Rainbow_Mountain_Red_Valley_View_Point_Tour_from_Cusco-Cusco_Cusco_Region.html,59,89,4.5,39,8,8,2,2
Tour Valle Sagrado de los Incas Full-Day,https://www.tripadvisor.com.pe/AttractionProductReview-g2656686-d15778410-Sacred_Valley_Full_Day_Tour-Cusco_Region.html,3327,"2,159",5.0,"3,233",84,9,0,1
Bus Abierto Cusco Ciudad Tour,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17472277-Open_Bus_Cusco_City_Tour-Cusco_Cusco_Region.html,142,141,4.5,112,13,8,5,4
Vence las multitudes Excursión de un día al lago Humantay,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15303587-Beat_the_Crowds_Humantay_Lake_Day_Tour-Cusco_Cusco_Region.html,132,183,5.0,125,3,0,2,2
"4 días en Machu Picchu con ciclismo, rafting y tirolina desde Cuzco",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11481752-4_Days_Machu_Picchu_with_Biking_Rafting_Ziplining-Cusco_Cusco_Region.html,109,192,5.0,95,8,3,1,2
From Cusco: Vinicunca Rainbow Mountain ATV Tour with Meals,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d18935334-From_Cusco_Vinicunca_Rainbow_Mountain_ATV_Tour_with_Meals-Cusco_Cusco_Region.html,26,29,5.0,25,1,0,0,0
Tour en cuatrimoto por la montaña 7 colores /caminata 5 minutos/,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27454880-ATV_tour_through_the_7_colors_mountain_walk_5_minutes-Cusco_Cusco_Region.html,10,33,4.5,9,0,0,0,1
Valle Sagrado con Maras-Moray Group Tour,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19278349-Sacred_Valley_with_Maras_Moray_Group_Tour-Cusco_Cusco_Region.html,139,168,5.0,122,15,1,1,0
MANU 4 Dias a Parque Nacional Recorrido Ecológico,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d23851052-MANU_4_Days_to_National_Park_Ecological_Tour-Cusco_Cusco_Region.html,131,281,5.0,117,12,0,0,2
Tour Privado A Machu Picchu Día Completo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11478429-Private_Tour_To_Machu_Picchu_Full_Day-Cusco_Cusco_Region.html,83,106,5.0,82,1,0,0,0
Machu Picchu en auto (2 días),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19147282-Machu_Picchu_By_Car_2_Days-Cusco_Cusco_Region.html,55,51,5.0,51,0,1,1,2
Caminata corta a la montaña del arco iris,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17019642-Short_Trek_to_the_Rainbow_Mountain-Cusco_Cusco_Region.html,8,14,5.0,8,0,0,0,0
Via Ferrata y Zip Line en el Valle Sagrado con almuerzo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19959149-Via_Ferrata_Zip_Line_at_the_Sacred_Valley_with_lunch-Cusco_Cusco_Region.html,3,16,5.0,3,0,0,0,0
Tour Machu Picchu Por Tren (2 Días),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d18476644-Machu_Picchu_Tour_By_Train_2_Days-Cusco_Cusco_Region.html,40,45,4.5,35,2,0,0,3
Camino Inca Jungle a Machu Picchu 4 Días,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17429459-Inca_Jungle_Trail_to_Machu_Picchu_4_Days-Cusco_Cusco_Region.html,84,81,5.0,84,0,0,0,0
Vive la Magia de los Textiles Andinos: Taller de Tejido - Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g319822-d17418671-Experience_the_Magic_of_Andean_Textiles_Weaving_workshop_Cusco-Chinchero_Cusco_Reg.html,44,162,5.0,44,0,0,0,0
Camino Inca Clásico a Machu Picchu (4 días),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d17775139-Classic_Inca_Trail_to_Machu_Picchu_4_Day-Cusco_Cusco_Region.html,47,75,5.0,47,0,0,0,0
Tour Privado a Machu Picchu desde Cusco con Almuerzo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d25415237-Private_Tour_to_Machu_Picchu_from_Cusco_with_Lunch-Cusco_Cusco_Region.html,80,81,5.0,80,0,0,0,0
Excursión de un día desde Cusco a Machu Picchu.,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26590444-Day_trip_tour_from_Cusco_to_Machu_Picchu-Cusco_Cusco_Region.html,16,16,5.0,16,0,0,0,0
City Tour en la ciudad del Cusco 1/2 Dia,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19604547-City_Tour_in_the_city_of_Cusco_1_2_Day-Cusco_Cusco_Region.html,99,140,4.5,79,15,4,1,0
