Tour Title,Tour URL,Opinion Count,Image Count,Rating,Excelente,Muy bueno,Promedio,Mala,Horrible
Tour Privado: 6 días|| Cuzco || MachuPicchu ||Montaña Arcoíris||,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d16913402-Private_Tour_6_days_Cusco_MachuPicchu_Rainbow_Mountain-Cusco_Cusco_Region.html,34,61,5.0,34,0,0,0,0
Tour a Valle Sagrado de los Incas (1 día),https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d19867160-Tour_to_Sacred_Valley_of_the_Incas_1_day-Cusco_Cusco_Region.html,54,55,5.0,52,1,0,0,1
Experiencia Exclusiva Machupicchu,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d24079392-Machupicchu_Exclusive_Experience-Cusco_Cusco_Region.html,30,50,5.0,30,0,0,0,0
Caminata por el Camino Inca de 7 días desde Machu Picchu,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d11461340-7_Day_Inca_Trail_Trek_to_Machu_Picchu_Group_Tour-Cusco_Cusco_Region.html,35,50,5.0,35,0,0,0,0
City Tour Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d27742663-City_Tour_Cusco-Cusco_Cusco_Region.html,41,83,5.0,40,1,0,0,0
4 Días - Especial Machu Picchu - Servicio de Grupo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15055178-4_Day_Machu_Picchu_Special_Group_Service-Cusco_Cusco_Region.html,37,121,5.0,37,0,0,0,0
"CUSCO MAGICAL 4D Transfer, Hotel, City Tour, Valle Sagrado y Machu Picchu",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15678677-CUSCO_MAGICAL_4D_Transfer_Hotel_City_Tour_Sacred_Valley_and_Machu_picchu-Cusco_Cus.html,39,72,5.0,38,1,0,0,0
Valle Sagrado + Machu Picchu con Perú Vip,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d20045157-Sacred_Valley_Machu_Picchu_with_Peru_Vip-Cusco_Cusco_Region.html,31,45,5.0,31,0,0,0,0
Caminata Lares a Machu Picchu de 4 días,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d13541807-Ultimate_Lares_Trek_Inca_Trail_5_days-Cusco_Cusco_Region.html,41,74,5.0,39,2,0,0,0
Machu Picchu en 1 Día desde Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26849892-Machu_Picchu_in_1_Day_from_Cusco-Cusco_Cusco_Region.html,41,55,5.0,40,1,0,0,0
Lago Humantay: Excursión privada de día completo,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12650361-Humantay_Lake_Tour_Private_Full_Day_Tour_From_Cusco-Cusco_Cusco_Region.html,31,59,5.0,31,0,0,0,0
Tour Valle Sagrado en Cusco,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d26836696-Sacred_Valley_Tour_in_Cusco-Cusco_Cusco_Region.html,38,58,5.0,37,1,0,0,0
"Experiencia con Llamas, Valle Sagrado y Machupicchu",https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d25568555-Experiencia_con_Llamas_Valle_Sagrado_y_Machupicchu-Cusco_Cusco_Region.html,39,82,5.0,39,0,0,0,0
Machu Picchu & Valle Sagrado 2-Day Tour,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d15778445-Machu_Picchu_Sacred_Valley_2_Day_Tour-Cusco_Cusco_Region.html,73,108,5.0,67,5,0,0,1
Excursión de día completo al Puente Inca de Qeswachaca,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12577839-Full_day_tour_of_Qeswachaca_Inca_Bridge-Cusco_Cusco_Region.html,14,41,5.0,14,0,0,0,0
Excursión privada al Valle Sagrado y Machu Picchu de 2D1N,https://www.tripadvisor.com.pe/AttractionProductReview-g294314-d12996681-2_Days_Sacred_Valley_and_Machu_Picchu_Tour-Cusco_Cusco_Region.html,36,32,5.0,35,1,0,0,0
