Business Title,Tour URL,Opinion Count,Total Opinions,Rating,Review Distribution
Pacha Expeditions,https://es.trustpilot.com/review/pachaexpeditions.com,Opiniones,4,"4,0","{'5 estrellas': '100\xa0%', '4 estrellas': '0\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '0\xa0%'}"
Peru InsideOut,https://es.trustpilot.com/review/www.peruinsideout.com,Opiniones,74,"4,9","{'5 estrellas': '99\xa0%', '4 estrellas': '1\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '0\xa0%'}"
Paprika Tours,https://es.trustpilot.com/review/paprikatours.com,Opiniones,633,"4,9","{'5 estrellas': '93\xa0%', '4 estrellas': '6\xa0%', '3 estrellas': '<1\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '<1\xa0%'}"
Inca Soul - Peru Tour Experiences,https://es.trustpilot.com/review/incasoulexperiences.com,Opiniones,49,"4,6","{'5 estrellas': '92\xa0%', '4 estrellas': '0\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '8\xa0%'}"
Machu Picchu Peru,https://es.trustpilot.com/review/machupicchuperu.com.br,Opiniones,11,"3,1","{'5 estrellas': '91\xa0%', '4 estrellas': '0\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '9\xa0%'}"
Pumadventures,https://es.trustpilot.com/review/pumadventures.com,Opiniones,26,"4,7","{'5 estrellas': '100\xa0%', '4 estrellas': '0\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '0\xa0%'}"
Cusco Transport and Tours,https://es.trustpilot.com/review/cuscotransport.com,Opiniones,7,"4,3","{'5 estrellas': '100\xa0%', '4 estrellas': '0\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '0\xa0%'}"
The Luxury Peru Travel Company,https://es.trustpilot.com/review/luxuryperu.travel,Opiniones,58,"4,6","{'5 estrellas': '88\xa0%', '4 estrellas': '8\xa0%', '3 estrellas': '2\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '2\xa0%'}"
Sam Travel Peru,https://es.trustpilot.com/review/samtravelperu.com,Opiniones,79,"4,9","{'5 estrellas': '100\xa0%', '4 estrellas': '0\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '0\xa0%'}"
Peru Summit Adventures,https://es.trustpilot.com/review/perusummit.com,Opiniones,29,"4,7","{'5 estrellas': '100\xa0%', '4 estrellas': '0\xa0%', '3 estrellas': '0\xa0%', '2 estrellas': '0\xa0%', '1 estrella': '0\xa0%'}"
